UserID,Channel2,RecordDate2,Duration 2
771796,Channel O,2/6/2016 16:10,2026-07-30T00:00:51.000Z
771796,Supersport Live Events,2/6/2016 16:18,2026-07-30T00:00:18.000Z
771796,Supersport Live Events,3/27/2016 16:58,2026-07-30T00:24:10.000Z
771796,Supersport Live Events,3/26/2016 17:00,2026-07-30T01:44:38.000Z
889840,Supersport Live Events,3/20/2016 20:18,2026-07-30T00:00:00.000Z
2368371,Supersport Live Events,3/26/2016 10:25,2026-07-30T00:08:12.000Z
617535,Africa Magic,1/11/2016 20:08,2026-07-30T00:00:11.000Z
617961,Boomerang,1/31/2016 22:06,2026-07-30T00:09:11.000Z
771797,SuperSport Blitz,2/3/2016 13:31,2026-07-30T00:00:32.000Z
67584,Supersport Live Events,1/18/2016 15:04,2026-07-30T00:05:58.000Z
808936,Supersport Live Events,3/24/2016 12:31,2026-07-30T00:05:50.000Z
808936,Supersport Live Events,2/18/2016 10:25,2026-07-30T00:00:00.000Z
590480,Africa Magic,1/4/2016 16:11,2026-07-30T00:02:47.000Z
831713,Trace TV,3/14/2016 7:08,2026-07-30T00:07:06.000Z
831713,Trace TV,3/7/2016 14:45,2026-07-30T00:15:21.000Z
817216,ICC Cricket World Cup 2011,2/24/2016 15:57,2026-07-30T00:02:56.000Z
817216,M-Net,2/25/2016 21:13,2026-07-30T00:00:00.000Z
2406478,Supersport Live Events,3/26/2016 13:50,2026-07-30T00:07:00.000Z
793592,Channel O,3/21/2016 12:34,2026-07-30T01:06:21.000Z
904063,Cartoon Network,3/26/2016 22:02,2026-07-30T00:00:17.000Z
904063,Cartoon Network,3/26/2016 20:09,2026-07-30T00:00:15.000Z
586459,Cartoon Network,1/2/2016 9:49,2026-07-30T00:05:10.000Z
791320,ICC Cricket World Cup 2011,3/5/2016 12:57,2026-07-30T00:00:14.000Z
791320,ICC Cricket World Cup 2011,3/6/2016 9:33,2026-07-30T00:13:04.000Z
791320,ICC Cricket World Cup 2011,3/6/2016 8:32,2026-07-30T00:13:54.000Z
771802,Boomerang,1/2/2016 12:42,2026-07-30T00:09:55.000Z
771802,Supersport Live Events,1/30/2016 14:11,2026-07-30T01:23:54.000Z
771802,CNN,1/1/2016 11:25,2026-07-30T00:00:21.000Z
771802,Supersport Live Events,1/8/2016 14:50,2026-07-30T00:06:06.000Z
771802,CNN,1/1/2016 2:37,2026-07-30T00:01:06.000Z
771802,Supersport Live Events,2/12/2016 16:51,2026-07-30T01:19:52.000Z
808941,SuperSport Blitz,3/1/2016 0:30,2026-07-30T00:00:32.000Z
600713,Channel O,1/1/2016 14:32,2026-07-30T00:47:18.000Z
600713,Channel O,1/13/2016 14:27,2026-07-30T00:00:27.000Z
2407123,Boomerang,3/14/2016 7:40,2026-07-30T00:00:44.000Z
2407123,Cartoon Network,3/8/2016 21:04,2026-07-30T00:08:40.000Z
2407123,ICC Cricket World Cup 2011,3/6/2016 9:48,2026-07-30T00:00:06.000Z
939600,Africa Magic,3/19/2016 2:07,2026-07-30T00:00:14.000Z
939600,ICC Cricket World Cup 2011,3/20/2016 14:34,2026-07-30T00:00:42.000Z
939600,Supersport Live Events,3/20/2016 15:36,2026-07-30T00:01:14.000Z
939602,Channel O,3/22/2016 16:45,2026-07-30T00:15:03.000Z
939602,Cartoon Network,3/18/2016 20:38,2026-07-30T00:00:00.000Z
939602,Supersport Live Events,3/18/2016 8:19,2026-07-30T00:00:12.000Z
939602,Cartoon Network,3/18/2016 20:05,2026-07-30T00:00:11.000Z
939602,Cartoon Network,3/20/2016 12:27,2026-07-30T00:00:49.000Z
939602,ICC Cricket World Cup 2011,3/28/2016 13:33,2026-07-30T00:01:46.000Z
939602,Channel O,3/28/2016 13:46,2026-07-30T00:05:00.000Z
939602,Channel O,3/25/2016 4:46,2026-07-30T00:45:00.000Z
939602,Africa Magic,3/25/2016 4:26,2026-07-30T00:03:32.000Z
939602,Channel O,3/29/2016 9:28,2026-07-30T00:04:30.000Z
939602,Africa Magic,3/21/2016 16:36,2026-07-30T00:02:07.000Z
866315,Boomerang,3/17/2016 22:32,2026-07-30T00:00:35.000Z
939603,ICC Cricket World Cup 2011,3/30/2016 8:47,2026-07-30T00:34:22.000Z
808945,Break in transmission,3/1/2016 19:19,2026-07-30T00:00:58.000Z
301011,SuperSport Blitz,1/8/2016 17:03,2026-07-30T00:01:08.000Z
831720,ICC Cricket World Cup 2011,3/1/2016 15:04,2026-07-30T00:04:16.000Z
831720,ICC Cricket World Cup 2011,3/1/2016 14:59,2026-07-30T00:10:10.000Z
831721,Channel O,3/2/2016 19:29,2026-07-30T00:04:39.000Z
831721,SawSee,3/2/2016 19:33,2026-07-30T00:02:05.000Z
895195,Trace TV,3/23/2016 19:06,2026-07-30T00:07:48.000Z
1289864,Trace TV,1/26/2016 7:40,2026-07-30T00:00:00.000Z
808948,SuperSport Blitz,2/11/2016 5:04,2026-07-30T00:02:00.000Z
808948,Channel O,2/18/2016 3:26,2026-07-30T00:00:12.000Z
808948,Channel O,2/18/2016 13:46,2026-07-30T00:00:57.000Z
808948,Channel O,2/24/2016 9:36,2026-07-30T00:01:00.000Z
808948,Trace TV,3/18/2016 11:42,2026-07-30T00:01:24.000Z
808948,Channel O,3/18/2016 11:55,2026-07-30T00:29:21.000Z
808948,Channel O,2/10/2016 19:46,2026-07-30T00:00:27.000Z
808948,Channel O,3/20/2016 15:49,2026-07-30T00:00:18.000Z
808948,ICC Cricket World Cup 2011,2/23/2016 11:18,2026-07-30T00:14:44.000Z
808948,Channel O,2/13/2016 1:05,2026-07-30T00:01:42.000Z
779395,Cartoon Network,2/14/2016 12:01,2026-07-30T00:02:55.000Z
779395,Trace TV,2/10/2016 14:07,2026-07-30T00:16:48.000Z
904090,Boomerang,3/23/2016 17:33,2026-07-30T00:00:24.000Z
1106115,Africa Magic,1/11/2016 16:06,2026-07-30T00:06:26.000Z
1106115,Trace TV,1/11/2016 15:33,2026-07-30T00:05:57.000Z
820361,Supersport Live Events,3/5/2016 17:29,2026-07-30T00:02:48.000Z
820361,Supersport Live Events,3/20/2016 17:58,2026-07-30T00:02:12.000Z
820361,SuperSport Blitz,2/27/2016 12:54,2026-07-30T00:08:26.000Z
820361,Supersport Live Events,2/27/2016 13:14,2026-07-30T00:00:20.000Z
820361,Supersport Live Events,2/27/2016 16:06,2026-07-30T00:00:08.000Z
820361,Cartoon Network,3/3/2016 6:11,2026-07-30T00:00:06.000Z
771816,SawSee,1/1/2016 6:59,2026-07-30T00:01:19.000Z
771816,Channel O,1/1/2016 7:02,2026-07-30T00:00:39.000Z
771816,Trace TV,1/1/2016 17:29,2026-07-30T00:01:57.000Z
771816,Cartoon Network,3/23/2016 11:09,2026-07-30T00:01:03.000Z
771816,Trace TV,2/6/2016 19:26,2026-07-30T00:01:15.000Z
771816,Trace TV,2/27/2016 9:32,2026-07-30T00:00:00.000Z
771816,Trace TV,3/7/2016 3:54,2026-07-30T00:01:57.000Z
771816,Cartoon Network,3/1/2016 6:27,2026-07-30T00:04:14.000Z
788649,SuperSport Blitz,1/15/2016 16:12,2026-07-30T00:02:38.000Z
939606,Cartoon Network,3/30/2016 5:53,2026-07-30T00:00:44.000Z
831728,SuperSport Blitz,3/12/2016 20:45,2026-07-30T00:01:24.000Z
939607,ICC Cricket World Cup 2011,3/30/2016 11:56,2026-07-30T00:00:46.000Z
808949,Africa Magic,2/20/2016 6:53,2026-07-30T00:03:41.000Z
808949,Africa Magic,2/15/2016 17:52,2026-07-30T00:00:29.000Z
808949,Africa Magic,3/2/2016 10:21,2026-07-30T00:00:23.000Z
808949,Africa Magic,2/14/2016 7:56,2026-07-30T00:00:25.000Z
808949,Boomerang,3/9/2016 8:24,2026-07-30T00:01:10.000Z
806460,Boomerang,2/13/2016 19:58,2026-07-30T00:00:00.000Z
460303,Cartoon Network,1/22/2016 16:30,2026-07-30T00:01:15.000Z
808950,Boomerang,2/18/2016 13:25,2026-07-30T00:02:37.000Z
808950,Channel O,2/18/2016 13:02,2026-07-30T00:01:06.000Z
808950,Boomerang,2/18/2016 5:57,2026-07-30T00:00:04.000Z
808950,Supersport Live Events,2/20/2016 14:29,2026-07-30T00:02:54.000Z
808950,SuperSport Blitz,3/3/2016 18:08,2026-07-30T00:05:38.000Z
808950,Channel O,2/18/2016 4:24,2026-07-30T00:02:15.000Z
808950,Trace TV,2/18/2016 7:37,2026-07-30T00:00:12.000Z
808950,Channel O,2/18/2016 14:49,2026-07-30T00:00:51.000Z
808950,Supersport Live Events,3/6/2016 14:41,2026-07-30T00:00:16.000Z
808950,SuperSport Blitz,3/3/2016 4:23,2026-07-30T00:11:20.000Z
808950,SuperSport Blitz,3/27/2016 10:37,2026-07-30T00:00:22.000Z
